z	mB	err_mB
0.12687	19.59325	0.010743322500000001
0.21311	20.67635	0.02042041
0.21075	20.727	0.016116302500000002
0.26826	21.4883	0.023332562499999997
0.20431	20.66435	0.0154629225
0.26991	21.2859	0.016116302500000002
0.24162	20.98075	0.023028062499999998
0.2908	21.236	0.0214476025
0.35306	21.81675	0.02295225
0.28509	21.60225	0.023823922499999997
0.21929	20.6719	0.023531560000000003
0.17537	20.24765	0.01560001
0.23517	20.9929	0.021257640000000005
0.15298	19.99965	0.012012160000000001
0.20982	20.90475	0.025090560000000005
0.29121	21.51945	0.022530010000000003
0.31353	21.8225	0.0223353025
0.13672	19.7402	0.012950439999999999
0.29532	21.7708	0.03705625
0.30369	21.49625	0.018225
0.20532	20.73155	0.01825201
0.12175	19.34125	0.0096138025
0.17424	20.2369	0.0121992025
0.24862	21.2028	0.019586002499999998
0.2453	21.1159	0.0198951025
0.13816	19.8495	0.013665610000000002
0.24288	21.02795	0.013806249999999999
0.24237	21.18455	0.023088802500000002
0.31437	21.3618	0.018769000000000004
0.2754	21.4485	0.023409
0.30004	21.4204	0.0252333225
0.21735	20.89395	0.024539222500000003
0.20311	20.5734	0.0157628025
0.19005	20.4061	0.02408704
0.29003	21.3714	0.023454922500000003
0.22796	20.83435	0.0226352025
0.31032	21.45975	0.024948202500000002
0.13712	20.12265	0.0130302225
0.08798	18.6796	0.01136356
0.08534	18.62285	0.01117249
0.19024	20.6486	0.013983062499999999
0.09278	18.8576	0.011881
0.12891	19.58985	0.0163712025
0.26136	21.1668	0.025074722499999997
0.26132	21.4559	0.031987322500000005
0.1957	20.61715	0.0167055625
0.14723	19.83975	0.014835240000000001
0.21154	21.14485	0.033051239999999996
0.17972	20.30175	0.0128255625
0.1907	20.6928	0.014220562499999999
0.3385	21.7897	0.02617924
0.11762	19.41925	0.0112254025
0.28854	21.5295	0.02686321
0.26377	21.2679	0.024633302500000002
0.24931	21.38165	0.01985281
0.22939	20.8794	0.016154409999999998
0.08575	18.608	0.010070122499999999
0.27631	21.62545	0.0363093025
0.36165	22.1744	0.02706025
0.30006	21.62535	0.027307562500000004
0.11659	19.38465	0.01073296
0.15474	19.83105	0.01092025
0.2501	21.2982	0.0174900625
0.25149	21.209	0.016027559999999996
0.12941	19.5471	0.011556249999999999
0.30894	21.72385	0.028662490000000002
0.29859	21.66705	0.02666689
0.27057	21.3419	0.028561000000000003
0.29318	21.57975	0.02064969
0.18988	20.46505	0.01404225
0.12368	19.4023	0.01044484
0.31262	21.63085	0.0204347025
0.3088	21.83605	0.0241025625
0.20244	20.60265	0.018947522499999998
0.21139	20.6247	0.01628176
0.1787	20.4025	0.01327104
0.30317	21.872	0.018947522499999998
0.21432	20.8217	0.01710864
0.32007	21.6956	0.018441640000000002
0.21791	20.9318	0.020235062499999998
0.07523	18.2988	0.0103734225
0.2574	21.37115	0.0225
0.18446	20.3647	0.017069422499999997
0.11639	19.29475	0.0103734225
0.06481	17.87655	0.01229881
0.10298	19.16045	0.010608999999999999
0.04437	16.92415	0.0143880025
0.16576	19.9345	0.0147744025
0.16799	20.0523	0.014859609999999999
0.17043	20.12375	0.020320502500000004
0.12029	19.52005	0.012757702499999999
0.13855	19.76995	0.01710864
0.23353	20.92065	0.02331729
0.24615	21.0223	0.0214476025
0.22259	21.0804	0.023901159999999998
0.17893	20.2809	0.015006249999999999
0.19694	20.5818	0.01361889
0.22889	20.99445	0.020606602500000005
0.26419	21.45355	0.027722250000000004
0.1034	19.10195	0.01014049
0.21313	20.73185	0.0151905625
0.1568	19.944	0.01218816
0.24317	21.24885	0.0239475625
0.23823	21.2481	0.020549222500000002
0.20827	20.70195	0.017397609999999997
0.25085	21.4064	0.027522809999999998
0.2251	20.861	0.0167832025
0.28707	21.45405	0.0204347025
0.32944	21.65335	0.0204347025
0.24575	21.128	0.015006249999999999
0.11981	19.65185	0.020163999999999998
0.32891	22.21015	0.043911202499999996
0.21037	20.57655	0.014472090000000002
0.20284	20.7349	0.01354896
0.28403	21.2982	0.0185913225
